日期,代码,名称,现价,涨跌幅,换手率,虚拟账本触发数,历史20日胜率,历史20日均益,买入信号强度,操作建议
2026-06-16,000600,建投能源,10.51,2.64%,5.97%,8,85.7%,7.78%,⭐⭐⭐⭐⭐,历史强势基因，重仓买入
2026-06-16,600222,太龙药业,8.1,2.79%,4.0%,8,71.4%,3.39%,⭐⭐⭐,历史强势基因，重仓买入
2026-06-16,002675,东诚药业,12.64,1.69%,1.19%,9,66.7%,1.93%,⭐⭐⭐,概率占优，分批建仓
2026-06-16,603070,万控智造,17.0,5.99%,4.34%,11,60.0%,2.65%,⭐⭐⭐,概率占优，分批建仓
2026-06-16,603112,华翔股份,18.75,2.63%,2.05%,12,58.3%,0.30%,⭐⭐⭐,概率占优，分批建仓
2026-06-16,002634,棒杰股份,5.14,3.84%,4.22%,12,58.3%,2.93%,⭐⭐⭐,概率占优，分批建仓
2026-06-16,603949,雪龙集团,16.74,9.99%,4.27%,10,50.0%,4.87%,⭐⭐⭐,历史表现平平，轻仓试错
2026-06-16,002248,华东数控,9.85,1.55%,3.38%,19,50.0%,2.73%,⭐⭐⭐,历史表现平平，轻仓试错
2026-06-16,002598,山东章鼓,7.31,1.67%,1.02%,14,41.7%,1.25%,⭐⭐⭐,历史表现平平，轻仓试错
2026-06-16,605155,西大门,14.2,3.5%,1.92%,6,33.3%,-3.11%,⭐⭐⭐,历史表现平平，轻仓试错
2026-06-16,002406,远东传动,7.51,1.21%,4.11%,13,25.0%,-3.14%,⭐⭐⭐,历史表现平平，轻仓试错
